Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
,,,,,,,,,,,,,,,,,,,,,,,,Parties,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Music,,,
Back to the Land,82,Birthday Party Tractor Ride,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz driving tractor at Birdsfoot circa late 1970's. On the wagon: left is Jean Dawson and Aria Wilson, to David's right is Phaedra Wilson, Valerie Summer and Alan Sirotkin.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0019_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birthday Parties,,,
Back to the Land,105,Making Yogurt,,Birdsfoot Farm,Canton (N.Y.),"Williams Bergen, Eric",18-Dec-09,,,,Yogurt making at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00295_sc.jpg,,,Back to the Land,Private Collection,This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 United States License,,"Original version: photograph, color; 3 x 5 in.",Yogurt,,Image,
,,,,,Saint Lawrence County (N.Y),,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,North Country (N.Y.),,,,,,,,,,,,,,,,,,,Dairy products,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Natural Foods,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dairy processing,,,
Back to the Land,92,Weeding and Thinning Spinach,,"Williams-Bergen, Eric",,"Williams Bergen, Eric",14-Dec-09,,,,Weeding and thinning a bed of spinach in the field called Violet at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00107_sc.jpg,,,Back to the Land,Private Collection,This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 United States License,,"Original version: photograph, color; 4 x 6 in.",Spinach,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Weeding,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thinning,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,93,Procesing Honey,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00108_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 8 x 12 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Honey,,,
,,,,,,,,,,,,,,,,,,,,,,,,Natural foods,,,
Back to the Land,94,Birdsfooters at Sunset Rock,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00109_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 5 x 7 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,xlm_mss_158_birdsfoot_00109b_sc.jpg,,,,,,,,"Portraits, Group",,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sense of place,,,
Back to the Land,95,Washing Lettuce,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00110_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 8 x 12 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Washing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cleaning,,,
